




          Tables of Critical Omega Values for Inner and Outer Contact

                 (Synchronous and Non-synchronous Rotation)



      For synchronous rotation, Omega values serve for either star.

      For non-synchronous rotation, use tables as follows:

        1. Use directly for primary star.

        2. For secondary star, look up Omega for 1/q, rather than q.
           Then apply the transformation:

            Omega (secondary) = q Omega (table) - (q-1)/2 ,

           where q is the mass ratio before the reciprocal is taken.

**************************************************************************
q is mass ratio, M2/M1
F is rotation parameter (ratio of angular rotation to the synchronous rate.
**************************************************************************
   The first half of the tables covers mass ratios below 1. 
   Tables for mass ratio above 1 begin about halfway through
**************************************************************************


Starting q =   1.00000    Final q =  0.01000   dq = 0.01000

    F=  0.00000
 
        M2/M1          X1             Omega 1
       1.000000000    0.531010056    3.484435332
       0.990000000    0.532098665    3.468403705
       0.980000000    0.533198577    3.452333039
       0.970000000    0.534310015    3.436222688
       0.960000000    0.535433208    3.420071989
       0.950000000    0.536568394    3.403880261
       0.940000000    0.537715817    3.387646806
       0.930000000    0.538875726    3.371370904
       0.920000000    0.540048383    3.355051815
       0.910000000    0.541234053    3.338688780
       0.900000000    0.542433011    3.322281017
       0.890000000    0.543645543    3.305827721
       0.880000000    0.544871942    3.289328065
       0.870000000    0.546112509    3.272781195
       0.860000000    0.547367559    3.256186235
       0.850000000    0.548637415    3.239542278
       0.840000000    0.549922409    3.222848393
       0.830000000    0.551222889    3.206103618
       0.820000000    0.552539211    3.189306963
       0.810000000    0.553871744    3.172457402
       0.800000000    0.555220872    3.155553882
       0.790000000    0.556586991    3.138595312
       0.780000000    0.557970511    3.121580565
       0.770000000    0.559371859    3.104508478
       0.760000000    0.560791475    3.087377847
       0.750000000    0.562229816    3.070187429
       0.740000000    0.563687360    3.052935935
       0.730000000    0.565164597    3.035622033
       0.720000000    0.566662042    3.018244344
       0.710000000    0.568180226    3.000801435
       0.700000000    0.569719704    2.983291826
       0.690000000    0.571281053    2.965713978
       0.680000000    0.572864870    2.948066296
       0.670000000    0.574471783    2.930347124
       0.660000000    0.576102442    2.912554739
       0.650000000    0.577757526    2.894687354
       0.640000000    0.579437744    2.876743108
       0.630000000    0.581143835    2.858720065
       0.620000000    0.582876572    2.840616211
       0.610000000    0.584636763    2.822429444
       0.600000000    0.586425254    2.804157574
       0.590000000    0.588242930    2.785798319
       0.580000000    0.590090716    2.767349291
       0.570000000    0.591969585    2.748808000
       0.560000000    0.593880557    2.730171841
       0.550000000    0.595824703    2.711438086
       0.540000000    0.597803146    2.692603882
       0.530000000    0.599817072    2.673666235
       0.520000000    0.601867725    2.654622007
       0.510000000    0.603956419    2.635467903
       0.500000000    0.606084539    2.616200459
       0.490000000    0.608253545    2.596816033
       0.480000000    0.610464984    2.577310788
       0.470000000    0.612720490    2.557680682
       0.460000000    0.615021794    2.537921449
       0.450000000    0.617370733    2.518028581
       0.440000000    0.619769256    2.497997313
       0.430000000    0.622219434    2.477822596
       0.420000000    0.624723475    2.457499078
       0.410000000    0.627283729    2.437021079
       0.400000000    0.629902705    2.416382556
       0.390000000    0.632583088    2.395577076
       0.380000000    0.635327750    2.374597780
       0.370000000    0.638139773    2.353437339
       0.360000000    0.641022468    2.332087912
       0.350000000    0.643979400    2.310541094
       0.340000000    0.647014411    2.288787856
       0.330000000    0.650131658    2.266818485
       0.320000000    0.653335639    2.244622501
       0.310000000    0.656631240    2.222188580
       0.300000000    0.660023777    2.199504450
       0.290000000    0.663519051    2.176556780
       0.280000000    0.667123409    2.153331049
       0.270000000    0.670843815    2.129811393
       0.260000000    0.674687937    2.105980428
       0.250000000    0.678664245    2.081819039
       0.240000000    0.682782129    2.057306129
       0.230000000    0.687052040    2.032418328
       0.220000000    0.691485662    2.007129635
       0.210000000    0.696096115    1.981410986
       0.200000000    0.700898209    1.955229737
       0.190000000    0.705908752    1.928549012
       0.180000000    0.711146939    1.901326910
       0.170000000    0.716634836    1.873515494
       0.160000000    0.722398002    1.845059516
       0.150000000    0.728466288    1.815894773
       0.140000000    0.734874887    1.785945947
       0.130000000    0.741665737    1.755123747
       0.120000000    0.748889419    1.723321012
       0.110000000    0.756607809    1.690407330
       0.100000000    0.764897851    1.656221354
       0.090000000    0.773857101    1.620559550
       0.080000000    0.783612188    1.583159072
       0.070000000    0.794332272    1.543670562
       0.060000000    0.806251675    1.501612497
       0.050000000    0.819710637    1.456289105
       0.040000000    0.835235862    1.406628441
       0.030000000    0.853721633    1.350818771
       0.020000000    0.876926665    1.285312415
    F=  0.10000
 
        M2/M1          X1             Omega 1
       1.000000000    0.530685853    3.487253327
       0.990000000    0.531774018    3.471219120
       0.980000000    0.532873479    3.455145900
       0.970000000    0.533984460    3.439033023
       0.960000000    0.535107190    3.422879828
       0.950000000    0.536241906    3.406685634
       0.940000000    0.537388850    3.390449742
       0.930000000    0.538548275    3.374171436
       0.920000000    0.539720439    3.357849976
       0.910000000    0.540905609    3.341484605
       0.900000000    0.542104060    3.325074541
       0.890000000    0.543316076    3.308618981
       0.880000000    0.544541950    3.292117098
       0.870000000    0.545781986    3.275568041
       0.860000000    0.547036495    3.258970934
       0.850000000    0.548305800    3.242324873
       0.840000000    0.549590236    3.225628928
       0.830000000    0.550890148    3.208882137
       0.820000000    0.552205892    3.192083513
       0.810000000    0.553537838    3.175232033
       0.800000000    0.554886369    3.158326643
       0.790000000    0.556251880    3.141366255
       0.780000000    0.557634783    3.124349745
       0.770000000    0.559035502    3.107275950
       0.760000000    0.560454478    3.090143670
       0.750000000    0.561892169    3.072951663
       0.740000000    0.563349049    3.055698644
       0.730000000    0.564825612    3.038383282
       0.720000000    0.566322370    3.021004199
       0.710000000    0.567839855    3.003559968
       0.700000000    0.569378621    2.986049109
       0.690000000    0.570939243    2.968470088
       0.680000000    0.572522321    2.950821311
       0.670000000    0.574128481    2.933101126
       0.660000000    0.575758371    2.915307814
       0.650000000    0.577412672    2.897439591
       0.640000000    0.579092092    2.879494600
       0.630000000    0.580797369    2.861470909
       0.620000000    0.582529276    2.843366507
       0.610000000    0.584288621    2.825179296
       0.600000000    0.586076248    2.806907094
       0.590000000    0.587893041    2.788547619
       0.580000000    0.589739928    2.770098492
       0.570000000    0.591617879    2.751557226
       0.560000000    0.593527913    2.732921222
       0.550000000    0.595471100    2.714187759
       0.540000000    0.597448565    2.695353988
       0.530000000    0.599461491    2.676416924
       0.520000000    0.601511123    2.657373436
       0.510000000    0.603598773    2.638220236
       0.500000000    0.605725826    2.618953867
       0.490000000    0.607893741    2.599570697
       0.480000000    0.610104064    2.580066898
       0.470000000    0.612358429    2.560438436
       0.460000000    0.614658566    2.540681057
       0.450000000    0.617006311    2.520790264
       0.440000000    0.619403611    2.500761302
       0.430000000    0.621852539    2.480589136
       0.420000000    0.624355299    2.460268430
       0.410000000    0.626914242    2.439793514
       0.400000000    0.629531876    2.419158363
       0.390000000    0.632210884    2.398356562
       0.380000000    0.634954138    2.377381268
       0.370000000    0.637764719    2.356225173
       0.360000000    0.640645936    2.334880458
       0.350000000    0.643601353    2.313338740
       0.340000000    0.646634814    2.291591016
       0.330000000    0.649750471    2.269627600
       0.320000000    0.652952824    2.247438044
       0.310000000    0.656246757    2.225011055
       0.300000000    0.659637587    2.202334398
       0.290000000    0.663131112    2.179394781
       0.280000000    0.666733680    2.156177729
       0.270000000    0.670452255    2.132667425
       0.260000000    0.674294504    2.108846541
       0.250000000    0.678268899    2.084696020
       0.240000000    0.682384830    2.060194835
       0.230000000    0.686652751    2.035319691
       0.220000000    0.691084347    2.010044672
       0.210000000    0.695692742    1.984340815
       0.200000000    0.700492751    1.958175582
       0.190000000    0.705501189    1.931512229
       0.180000000    0.710737260    1.904308999
       0.170000000    0.716223041    1.876518126
       0.160000000    0.721984108    1.848084564
       0.150000000    0.728050333    1.818944344
       0.140000000    0.734456938    1.789022432
       0.130000000    0.741245899    1.758229873
       0.120000000    0.748467851    1.726459923
       0.110000000    0.756184742    1.693582682
       0.100000000    0.764473615    1.659437448
       0.090000000    0.773432171    1.623821517
       0.080000000    0.783187246    1.586473135
       0.070000000    0.793908311    1.547044418
       0.060000000    0.805830165    1.505055919
       0.050000000    0.819293831    1.459814922
       0.040000000    0.834827368    1.410254287
       0.030000000    0.853327651    1.354570570
       0.020000000    0.876559163    1.289232676
    F=  0.50000
 
        M2/M1          X1             Omega 1
       1.000000000    0.522981018    3.553864192
       0.990000000    0.524057821    3.537769605
       0.980000000    0.525145752    3.521636641
       0.970000000    0.526245032    3.505464677
       0.960000000    0.527355885    3.489253075
       0.950000000    0.528478545    3.473001176
       0.940000000    0.529613249    3.456708308
       0.930000000    0.530760246    3.440373778
