          Teff = 3500 K,  log g = 0.0,  [M/H] = -0.3

 bolometric           0    0.487 (0.0681)    0.613  0.189 (0.0167)    0.204  0.472 (0.0076)
 Stromgren      u     1    0.740 (0.0398)    0.782  0.064 (0.0247)    0.643  0.161 (0.0217)
                v     2    0.930 (0.0895)    0.691 -0.359 (0.0385)    1.468 -0.897 (0.0552)
                b     3    1.068 (0.1271)    0.747 -0.482 (0.0401)    1.791 -1.205 (0.0631)
                y     4    0.974 (0.0707)    0.793 -0.272 (0.0291)    1.381 -0.679 (0.0422)
 Johnson        U     5    0.783 (0.0237)    0.763 -0.030 (0.0297)    0.828 -0.074 (0.0310)
                B     6    1.022 (0.1109)    0.738 -0.427 (0.0389)    1.662 -1.067 (0.0591)
                V     7    0.955 (0.0611)    0.797 -0.238 (0.0287)    1.312 -0.594 (0.0401)
                R     8    0.816 (0.0216)    0.796 -0.030 (0.0260)    0.862 -0.075 (0.0274)
                I     9    0.622 (0.0532)    0.706  0.126 (0.0226)    0.433  0.315 (0.0166)
                J    10    0.494 (0.0565)    0.603  0.163 (0.0120)    0.250  0.407 (0.0044)
                K    11    0.323 (0.1104)    0.539  0.324 (0.0180)   -0.163  0.810 (0.0024)
                L    12    0.244 (0.0796)    0.398  0.231 (0.0143)   -0.103  0.578 (0.0031)
                M    13    0.151 (0.0564)    0.251  0.149 (0.0177)   -0.073  0.373 (0.0106)
                N    14    0.119 (0.0369)    0.187  0.102 (0.0091)   -0.035  0.256 (0.0042)
 Cousins        Rc   15    0.865 (0.0239)    0.811 -0.081 (0.0260)    0.987 -0.203 (0.0299)
                Ic   16    0.701 (0.0447)    0.760  0.089 (0.0248)    0.567  0.223 (0.0205)
 Bessell        UX   17    0.778 (0.0246)    0.765 -0.020 (0.0291)    0.808 -0.049 (0.0300)
 Bessell        BX   18    1.024 (0.1113)    0.738 -0.428 (0.0389)    1.666 -1.070 (0.0592)
 Bessell        B    19    1.022 (0.1111)    0.738 -0.427 (0.0389)    1.664 -1.069 (0.0592)
 Bessell        V    20    0.955 (0.0607)    0.797 -0.236 (0.0286)    1.309 -0.590 (0.0400)
 Bessell        R    21    0.862 (0.0235)    0.810 -0.078 (0.0260)    0.980 -0.196 (0.0298)
 Bessell        I    22    0.684 (0.0474)    0.751  0.100 (0.0245)    0.534  0.250 (0.0197)
 Tycho         TyB   23    1.001 (0.1103)    0.716 -0.427 (0.0392)    1.642 -1.068 (0.0594)
               TyV   24    0.973 (0.0712)    0.789 -0.276 (0.0308)    1.387 -0.690 (0.0441)
 Hipparchos    HIP   25    0.930 (0.0530)    0.790 -0.210 (0.0297)    1.245 -0.525 (0.0398)
 KEPLER              26    0.836 (0.0232)    0.787 -0.073 (0.0269)    0.946 -0.184 (0.0305)
 COROT SIS           27    0.798 (0.0212)    0.771 -0.040 (0.0262)    0.859 -0.101 (0.0281)
 COROT EXO           28    0.794 (0.0214)    0.771 -0.034 (0.0260)    0.845 -0.086 (0.0277)
 Geneva         U    29    0.746 (0.0367)    0.779  0.050 (0.0255)    0.672  0.124 (0.0233)
                B    30    1.012 (0.1120)    0.724 -0.432 (0.0394)    1.661 -1.081 (0.0599)
                B1   31    0.920 (0.0761)    0.713 -0.310 (0.0371)    1.384 -0.774 (0.0516)
                B2   32    1.042 (0.1243)    0.726 -0.474 (0.0400)    1.753 -1.184 (0.0625)
                V    33    0.957 (0.0623)    0.795 -0.242 (0.0286)    1.320 -0.605 (0.0402)
                V1   34    0.965 (0.0689)    0.788 -0.266 (0.0294)    1.364 -0.665 (0.0422)
                G    35    0.942 (0.0491)    0.814 -0.191 (0.0262)    1.228 -0.478 (0.0355)
 Vilnius        U    36    0.734 (0.0429)    0.785  0.078 (0.0240)    0.617  0.194 (0.0204)
                P    37    0.767 (0.0281)    0.767 -0.001 (0.0291)    0.768 -0.001 (0.0291)
                X    38    0.941 (0.0910)    0.698 -0.364 (0.0391)    1.488 -0.911 (0.0561)
                Y    39    1.066 (0.1272)    0.744 -0.483 (0.0404)    1.790 -1.207 (0.0633)
