          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

 bolometric           0    0.357 (0.0951)    0.547  0.285 (0.0124)   -0.070  0.712 (0.0019)
 Stromgren      u     1    0.626 (0.0117)    0.648  0.033 (0.0025)    0.576  0.083 (0.0010)
                v     2    0.623 (0.0130)    0.649  0.039 (0.0020)    0.565  0.097 (0.0003)
                b     3    0.620 (0.0134)    0.646  0.039 (0.0026)    0.563  0.096 (0.0008)
                y     4    0.628 (0.0099)    0.643  0.023 (0.0040)    0.594  0.057 (0.0030)
 Johnson        U     5    0.624 (0.0125)    0.648  0.037 (0.0022)    0.569  0.092 (0.0005)
                B     6    0.622 (0.0129)    0.647  0.037 (0.0026)    0.567  0.092 (0.0009)
                V     7    0.629 (0.0093)    0.643  0.020 (0.0042)    0.599  0.051 (0.0032)
                R     8    0.608 (0.0200)    0.652  0.066 (0.0008)    0.508  0.165 (0.0031)
                I     9    0.524 (0.0599)    0.662  0.207 (0.0065)    0.214  0.516 (0.0164)
                J    10    0.372 (0.1125)    0.603  0.345 (0.0094)   -0.146  0.863 (0.0115)
                K    11    0.230 (0.1257)    0.461  0.346 (0.0324)   -0.289  0.866 (0.0158)
                L    12    0.153 (0.0754)    0.281  0.192 (0.0277)   -0.134  0.479 (0.0187)
                M    13    0.124 (0.0689)    0.240  0.174 (0.0250)   -0.137  0.434 (0.0167)
                N    14    0.073 (0.0484)    0.159  0.128 (0.0145)   -0.119  0.320 (0.0084)
 Cousins        Rc   15    0.620 (0.0136)    0.647  0.041 (0.0021)    0.559  0.102 (0.0003)
                Ic   16    0.577 (0.0355)    0.661  0.126 (0.0048)    0.389  0.315 (0.0105)
 Bessell        UX   17    0.624 (0.0124)    0.648  0.036 (0.0023)    0.570  0.091 (0.0006)
 Bessell        BX   18    0.622 (0.0129)    0.647  0.037 (0.0026)    0.567  0.092 (0.0009)
 Bessell        B    19    0.622 (0.0129)    0.647  0.037 (0.0026)    0.567  0.092 (0.0009)
 Bessell        V    20    0.630 (0.0092)    0.643  0.020 (0.0042)    0.600  0.050 (0.0033)
 Bessell        R    21    0.619 (0.0141)    0.648  0.043 (0.0019)    0.555  0.107 (0.0003)
