          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.1

 bolometric           0    0.485 (0.0662)    0.606  0.182 (0.0170)    0.212  0.454 (0.0083)
 Stromgren      u     1    0.715 (0.0597)    0.810  0.142 (0.0221)    0.502  0.355 (0.0154)
                v     2    0.906 (0.0644)    0.729 -0.266 (0.0347)    1.305 -0.665 (0.0471)
                b     3    1.095 (0.1203)    0.789 -0.458 (0.0393)    1.782 -1.145 (0.0611)
                y     4    0.992 (0.0674)    0.817 -0.263 (0.0306)    1.387 -0.658 (0.0432)
 Johnson        U     5    0.756 (0.0382)    0.791  0.053 (0.0264)    0.677  0.132 (0.0240)
                B     6    1.036 (0.1010)    0.774 -0.393 (0.0385)    1.625 -0.982 (0.0571)
                V     7    0.976 (0.0602)    0.817 -0.237 (0.0300)    1.331 -0.593 (0.0414)
                R     8    0.828 (0.0220)    0.796 -0.047 (0.0274)    0.898 -0.117 (0.0297)
                I     9    0.627 (0.0549)    0.712  0.127 (0.0240)    0.436  0.318 (0.0178)
                J    10    0.489 (0.0575)    0.598  0.163 (0.0135)    0.245  0.408 (0.0059)
                K    11    0.322 (0.1047)    0.528  0.309 (0.0164)   -0.142  0.772 (0.0015)
                L    12    0.240 (0.0766)    0.388  0.222 (0.0139)   -0.093  0.555 (0.0033)
                M    13    0.132 (0.0438)    0.211  0.118 (0.0126)   -0.045  0.296 (0.0070)
                N    14    0.114 (0.0364)    0.180  0.099 (0.0100)   -0.034  0.247 (0.0053)
 Cousins        Rc   15    0.883 (0.0277)    0.814 -0.104 (0.0275)    1.040 -0.261 (0.0326)
                Ic   16    0.708 (0.0440)    0.763  0.082 (0.0258)    0.584  0.206 (0.0218)
 Bessell        UX   17    0.751 (0.0403)    0.793  0.062 (0.0260)    0.658  0.156 (0.0230)
 Bessell        BX   18    1.038 (0.1016)    0.775 -0.395 (0.0385)    1.630 -0.987 (0.0572)
 Bessell        B    19    1.036 (0.1011)    0.774 -0.393 (0.0385)    1.626 -0.983 (0.0571)
 Bessell        V    20    0.975 (0.0599)    0.818 -0.236 (0.0299)    1.330 -0.590 (0.0413)
 Bessell        R    21    0.879 (0.0270)    0.812 -0.101 (0.0276)    1.031 -0.252 (0.0324)
 Bessell        I    22    0.691 (0.0471)    0.754  0.095 (0.0255)    0.549  0.237 (0.0209)
 Tycho         TyB   23    1.006 (0.0950)    0.757 -0.373 (0.0380)    1.565 -0.933 (0.0557)
               TyV   24    0.994 (0.0697)    0.811 -0.274 (0.0320)    1.405 -0.684 (0.0452)
 Hipparchos    HIP   25    0.951 (0.0546)    0.806 -0.218 (0.0310)    1.279 -0.546 (0.0415)
 KEPLER              26    0.851 (0.0249)    0.793 -0.086 (0.0283)    0.979 -0.215 (0.0324)
 COROT SIS           27    0.809 (0.0219)    0.777 -0.048 (0.0275)    0.881 -0.119 (0.0298)
 COROT EXO           28    0.804 (0.0220)    0.776 -0.042 (0.0274)    0.866 -0.104 (0.0294)
 Geneva         U    29    0.722 (0.0557)    0.806  0.126 (0.0229)    0.533  0.315 (0.0171)
                B    30    1.021 (0.0984)    0.764 -0.385 (0.0382)    1.597 -0.962 (0.0565)
                B1   31    0.903 (0.0553)    0.748 -0.232 (0.0342)    1.250 -0.579 (0.0451)
                B2   32    1.059 (0.1131)    0.769 -0.435 (0.0394)    1.712 -1.088 (0.0600)
                V    33    0.976 (0.0605)    0.817 -0.238 (0.0299)    1.333 -0.595 (0.0413)
                V1   34    0.983 (0.0651)    0.813 -0.256 (0.0308)    1.366 -0.639 (0.0430)
                G    35    0.966 (0.0514)    0.832 -0.202 (0.0273)    1.269 -0.505 (0.0370)
 Vilnius        U    36    0.709 (0.0627)    0.812  0.154 (0.0215)    0.478  0.385 (0.0143)
                P    37    0.739 (0.0458)    0.794  0.082 (0.0259)    0.616  0.206 (0.0221)
                X    38    0.922 (0.0679)    0.736 -0.279 (0.0354)    1.340 -0.697 (0.0485)
                Y    39    1.091 (0.1203)    0.785 -0.459 (0.0398)    1.780 -1.148 (0.0617)
                Z    40    0.967 (0.0687)    0.783 -0.276 (0.0354)    1.381 -0.689 (0.0486)
                V    41    0.992 (0.0676)    0.816 -0.264 (0.0306)    1.388 -0.660 (0.0433)
                S    42    0.902 (0.0299)    0.825 -0.115 (0.0266)    1.075 -0.289 (0.0322)
 Milone         iz   43    0.523 (0.0604)    0.627  0.155 (0.0213)    0.292  0.387 (0.0139)
                iJ   44    0.486 (0.0536)    0.586  0.150 (0.0137)    0.261  0.375 (0.0067)
                iH   45    0.414 (0.1095)    0.635  0.332 (0.0128)   -0.084  0.830 (0.0032)
                iK   46    0.316 (0.1053)    0.522  0.310 (0.0166)   -0.149  0.775 (0.0018)
 YMS94         iz    47    0.524 (0.0604)    0.627  0.155 (0.0213)    0.292  0.387 (0.0139)
               iJ    48    0.486 (0.0536)    0.586  0.150 (0.0137)    0.261  0.375 (0.0067)
               iH    49    0.414 (0.1094)    0.636  0.332 (0.0128)   -0.084  0.830 (0.0033)
               iK    50    0.316 (0.1052)    0.522  0.310 (0.0166)   -0.149  0.775 (0.0018)
               iL    51    0.228 (0.0727)    0.368  0.210 (0.0136)   -0.087  0.525 (0.0035)
               iLp   52    0.215 (0.0684)    0.347  0.197 (0.0131)   -0.080  0.493 (0.0036)
               iM    53    0.124 (0.0424)    0.199  0.113 (0.0130)   -0.045  0.282 (0.0076)
               in    54    0.115 (0.0366)    0.181  0.099 (0.0101)   -0.034  0.249 (0.0053)
               iN    55    0.106 (0.0345)    0.168  0.093 (0.0099)   -0.034  0.232 (0.0055)
 Sloan DSS      u    56    0.719 (0.0567)    0.805  0.129 (0.0233)    0.526  0.321 (0.0173)
                g    57    1.024 (0.0900)    0.790 -0.351 (0.0362)    1.550 -0.877 (0.0529)
                r    58    0.932 (0.0404)    0.825 -0.161 (0.0283)    1.174 -0.403 (0.0361)
                i    59    0.730 (0.0387)    0.770  0.060 (0.0263)    0.640  0.150 (0.0234)
                z    60    0.600 (0.0601)    0.698  0.147 (0.0236)    0.380  0.367 (0.0165)
 HST STIS Ly_alpha   61    0.642 (0.0219)    0.605 -0.055 (0.0070)    0.725 -0.138 (0.0044)
            Fclear   62    0.282 (0.0553)    0.153 -0.193 (0.0076)    0.571 -0.482 (0.0168)
             Fsrf2   63    0.279 (0.0548)    0.151 -0.191 (0.0075)    0.566 -0.478 (0.0167)
              Fqtz   64    0.298 (0.0582)    0.163 -0.203 (0.0078)    0.601 -0.506 (0.0175)
              CIII   65    0.583 (0.0445)    0.489 -0.141 (0.0018)    0.793 -0.351 (0.0055)
              MgII   66    0.739 (0.0960)    0.940  0.302 (0.0054)    0.286  0.755 (0.0094)
            Nclear   67    0.883 (0.0353)    0.782 -0.151 (0.0306)    1.108 -0.377 (0.0377)
             Nsrf2   68    0.979 (0.0714)    0.789 -0.285 (0.0343)    1.407 -0.713 (0.0478)
              Nqtz   69    0.669 (0.1051)    0.881  0.318 (0.0122)    0.191  0.796 (0.0034)
             cn182   70    0.861 (0.0358)    0.758 -0.154 (0.0319)    1.092 -0.386 (0.0391)
             cn270   71    0.749 (0.0880)    0.935  0.279 (0.0038)    0.330  0.698 (0.0099)
            Oclear   72    0.773 (0.0235)    0.763 -0.016 (0.0267)    0.796 -0.039 (0.0274)
         Oclear-lp   73    0.742 (0.0297)    0.758  0.025 (0.0257)    0.705  0.062 (0.0245)
             [OII]   74    0.716 (0.0604)    0.809  0.140 (0.0240)    0.507  0.349 (0.0175)
            [OIII]   75    1.039 (0.0896)    0.797 -0.362 (0.0456)    1.583 -0.906 (0.0627)
 2MASS          J    76    0.487 (0.0543)    0.589  0.152 (0.0137)    0.259  0.381 (0.0066)
 2MASS          H    77    0.412 (0.1086)    0.632  0.330 (0.0125)   -0.082  0.825 (0.0034)
 2MASS          Ks   78    0.319 (0.1064)    0.528  0.313 (0.0167)   -0.152  0.784 (0.0017)
 SWASP               79    0.954 (0.0524)    0.814 -0.209 (0.0303)    1.267 -0.523 (0.0404)
 MOST                80    0.932 (0.0450)    0.811 -0.181 (0.0301)    1.203 -0.453 (0.0388)
 GAIA (2006)    G    81    0.828 (0.0228)    0.783 -0.067 (0.0279)    0.928 -0.167 (0.0311)
 GAIA (2010)    G    82    0.799 (0.0222)    0.776 -0.035 (0.0273)    0.852 -0.087 (0.0290)
 GAIA (2010)    BP   83    0.964 (0.0553)    0.817 -0.220 (0.0301)    1.293 -0.549 (0.0407)
 GAIA (2010)    RP   84    0.696 (0.0419)    0.746  0.075 (0.0256)    0.584  0.187 (0.0220)
 GAIA (2010)  G_RV   85    0.664 (0.0538)    0.742  0.116 (0.0264)    0.490  0.291 (0.0208)
 Milone        230   86    0.642 (0.0216)    0.608 -0.051 (0.0080)    0.719 -0.129 (0.0056)
               250   87    0.776 (0.0447)    0.878  0.153 (0.0045)    0.547  0.382 (0.0119)
               270   88    0.750 (0.0875)    0.935  0.278 (0.0037)    0.333  0.695 (0.0100)
               290   89    0.708 (0.1063)    0.927  0.329 (0.0089)    0.215  0.822 (0.0071)
               310   90    0.652 (0.1123)    0.878  0.339 (0.0138)    0.144  0.847 (0.0028)
               330   91    0.640 (0.0992)    0.835  0.293 (0.0149)    0.200  0.732 (0.0018)
 CaII triplet  858   92    0.673 (0.0522)    0.745  0.108 (0.0273)    0.511  0.270 (0.0221)
 WIRE  Johnson V+R   93    0.862 (0.0254)    0.801 -0.090 (0.0280)    0.997 -0.226 (0.0324)
               LUT   94    0.919 (0.0479)    0.787 -0.198 (0.0319)    1.216 -0.496 (0.0414)
              TESS   95    0.701 (0.0385)    0.743  0.063 (0.0252)    0.606  0.158 (0.0222)


          Teff = 3500 K,  log g = 0.5,  [M/H] = +0.1

 bolometric           0    0.477 (0.0665)    0.598  0.182 (0.0175)    0.204  0.455 (0.0087)
 Stromgren      u     1    0.754 (0.0423)    0.800  0.069 (0.0260)    0.650  0.173 (0.0228)
                v     2    0.943 (0.0745)    0.742 -0.301 (0.0354)    1.395 -0.754 (0.0495)
                b     3    1.115 (0.1226)    0.804 -0.466 (0.0389)    1.813 -1.164 (0.0610)
                y     4    0.994 (0.0667)    0.820 -0.262 (0.0308)    1.387 -0.655 (0.0434)
 Johnson        U     5    0.802 (0.0242)    0.785 -0.026 (0.0297)    0.842 -0.066 (0.0309)
                B     6    1.048 (0.1007)    0.787 -0.391 (0.0380)    1.635 -0.978 (0.0565)
                V     7    0.977 (0.0602)    0.818 -0.238 (0.0302)    1.335 -0.596 (0.0417)
                R     8    0.816 (0.0225)    0.781 -0.052 (0.0284)    0.895 -0.131 (0.0309)
                I     9    0.619 (0.0550)    0.703  0.126 (0.0244)    0.429  0.316 (0.0183)
